name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_RNSRingMultiplication<1024>",6945858,101.14,101.14,ns,,,,,
"BM_RNSRingMultiplication<1536>",5281592,132.401,132.401,ns,,,,,
"BM_RNSRingMultiplication<2048>",3390466,208.039,208.04,ns,,,,,
"BM_FixedWindowTable_ctime_select<1024, 1>",443358433,1.57881,1.57881,ns,,,,,
"BM_FixedWindowTable_ctime_select<1024, 2>",443358835,1.57885,1.57885,ns,,,,,
"BM_FixedWindowTable_ctime_select<1024, 3>",443330076,1.57893,1.57886,ns,,,,,
"BM_FixedWindowTable_ctime_select<1024, 4>",33241302,20.9907,20.9902,ns,,,,,
"BM_FixedWindowTable_ctime_select<1024, 5>",17209196,41.078,41.0777,ns,,,,,
"BM_FixedWindowTable_ctime_select<1024, 6>",8995365,77.8014,77.8014,ns,,,,,
"BM_FixedWindowTable_ctime_select<1024, 7>",3820693,183.265,183.261,ns,,,,,
"BM_FixedWindowTable_ctime_select<1024, 8>",1281882,545.919,545.913,ns,,,,,
"BM_FixedWindowTable_ctime_select<1536, 1>",332520054,2.10514,2.10514,ns,,,,,
"BM_FixedWindowTable_ctime_select<1536, 2>",332522923,2.10512,2.1051,ns,,,,,
"BM_FixedWindowTable_ctime_select<1536, 3>",332520122,2.10515,2.10513,ns,,,,,
"BM_FixedWindowTable_ctime_select<1536, 4>",26137043,26.7152,26.7153,ns,,,,,
"BM_FixedWindowTable_ctime_select<1536, 5>",13707566,51.0081,51.0067,ns,,,,,
"BM_FixedWindowTable_ctime_select<1536, 6>",7033293,99.5769,99.5754,ns,,,,,
"BM_FixedWindowTable_ctime_select<1536, 7>",2018382,346.774,346.775,ns,,,,,
"BM_FixedWindowTable_ctime_select<1536, 8>",1013929,690.071,690.072,ns,,,,,
"BM_FixedWindowTable_ctime_select<2048, 1>",266012829,2.63147,2.63144,ns,,,,,
"BM_FixedWindowTable_ctime_select<2048, 2>",266018138,2.63144,2.63141,ns,,,,,
"BM_FixedWindowTable_ctime_select<2048, 3>",266017179,2.63137,2.63138,ns,,,,,
"BM_FixedWindowTable_ctime_select<2048, 4>",20323779,34.4863,34.4864,ns,,,,,
"BM_FixedWindowTable_ctime_select<2048, 5>",10836016,64.6732,64.6722,ns,,,,,
"BM_FixedWindowTable_ctime_select<2048, 6>",5670275,123.543,123.543,ns,,,,,
"BM_FixedWindowTable_ctime_select<2048, 7>",1596669,438.4,438.393,ns,,,,,
"BM_FixedWindowTable_ctime_select<2048, 8>",805168,869.068,869.064,ns,,,,,
"BM_RNSExponentiation<1024, 1>",3393,206450,206445,ns,,,,,
"BM_RNSExponentiation<1024, 2>",4610,151849,151850,ns,,,,,
"BM_RNSExponentiation<1024, 3>",5134,136391,136390,ns,,,,,
"BM_RNSExponentiation<1024, 4>",5372,130606,130606,ns,,,,,
"BM_RNSExponentiation<1024, 5>",5316,131776,131773,ns,,,,,
"BM_RNSExponentiation<1024, 6>",5406,129388,129388,ns,,,,,
"BM_RNSExponentiation<1024, 7>",4302,162367,162365,ns,,,,,
"BM_RNSExponentiation<1024, 8>",3444,203216,203215,ns,,,,,
"BM_RNSExponentiation<1536, 1>",1718,407184,407180,ns,,,,,
"BM_RNSExponentiation<1536, 2>",2264,309181,309175,ns,,,,,
"BM_RNSExponentiation<1536, 3>",2212,316304,316298,ns,,,,,
"BM_RNSExponentiation<1536, 4>",2326,301006,301007,ns,,,,,
"BM_RNSExponentiation<1536, 5>",2359,296962,296963,ns,,,,,
"BM_RNSExponentiation<1536, 6>",2245,311820,311817,ns,,,,,
"BM_RNSExponentiation<1536, 7>",1914,365599,365593,ns,,,,,
"BM_RNSExponentiation<1536, 8>",1605,436299,436296,ns,,,,,
"BM_RNSExponentiation<2048, 1>",846,827432,827434,ns,,,,,
"BM_RNSExponentiation<2048, 2>",1125,634925,634916,ns,,,,,
"BM_RNSExponentiation<2048, 3>",1268,564489,564486,ns,,,,,
"BM_RNSExponentiation<2048, 4>",1306,537286,537280,ns,,,,,
"BM_RNSExponentiation<2048, 5>",1300,538583,538575,ns,,,,,
"BM_RNSExponentiation<2048, 6>",1210,578634,578635,ns,,,,,
"BM_RNSExponentiation<2048, 7>",1104,633761,633763,ns,,,,,
"BM_RNSExponentiation<2048, 8>",942,742648,742650,ns,,,,,
