name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_RNSInt2Mont<2048>_mean",5,215.743,215.741,ns,,,,,
"BM_RNSInt2Mont<2048>_median",5,215.753,215.752,ns,,,,,
"BM_RNSInt2Mont<2048>_stddev",5,0.0243553,0.0253635,ns,,,,,
"BM_RNSInt2Mont<2048>_cv",5,0.00011289,0.000117564,,,,,,
"BM_RNSInt2Mont<3072>_mean",5,502.23,502.228,ns,,,,,
"BM_RNSInt2Mont<3072>_median",5,502.079,502.079,ns,,,,,
"BM_RNSInt2Mont<3072>_stddev",5,0.29391,0.295362,ns,,,,,
"BM_RNSInt2Mont<3072>_cv",5,0.000585211,0.000588105,,,,,,
"BM_RNSInt2Mont<4096>_mean",5,1575.24,1575.24,ns,,,,,
"BM_RNSInt2Mont<4096>_median",5,1575.31,1575.32,ns,,,,,
"BM_RNSInt2Mont<4096>_stddev",5,1.53858,1.53636,ns,,,,,
"BM_RNSInt2Mont<4096>_cv",5,0.000976724,0.000975319,,,,,,
"BM_RNSMont2Int<2048>_mean",5,11676.3,11676.3,ns,,,,,
"BM_RNSMont2Int<2048>_median",5,11676,11676,ns,,,,,
"BM_RNSMont2Int<2048>_stddev",5,32.6587,32.6233,ns,,,,,
"BM_RNSMont2Int<2048>_cv",5,0.00279701,0.00279398,,,,,,
"BM_RNSMont2Int<3072>_mean",5,17817.1,17817,ns,,,,,
"BM_RNSMont2Int<3072>_median",5,17726,17725.5,ns,,,,,
"BM_RNSMont2Int<3072>_stddev",5,397.579,397.655,ns,,,,,
"BM_RNSMont2Int<3072>_cv",5,0.0223144,0.0223188,,,,,,
"BM_RNSMont2Int<4096>_mean",5,19157.2,19157.1,ns,,,,,
"BM_RNSMont2Int<4096>_median",5,19143,19143,ns,,,,,
"BM_RNSMont2Int<4096>_stddev",5,95.042,95.0961,ns,,,,,
"BM_RNSMont2Int<4096>_cv",5,0.00496116,0.004964,,,,,,
"BM_RNSRingMultiplication<2048>_mean",5,206.515,206.514,ns,,,,,
"BM_RNSRingMultiplication<2048>_median",5,206.516,206.514,ns,,,,,
"BM_RNSRingMultiplication<2048>_stddev",5,0.0114944,0.0108603,ns,,,,,
"BM_RNSRingMultiplication<2048>_cv",5,5.56589e-05,5.25887e-05,,,,,,
"BM_RNSRingMultiplication<3072>_mean",5,462.718,462.713,ns,,,,,
"BM_RNSRingMultiplication<3072>_median",5,462.712,462.709,ns,,,,,
"BM_RNSRingMultiplication<3072>_stddev",5,0.0244632,0.0239022,ns,,,,,
"BM_RNSRingMultiplication<3072>_cv",5,5.28686e-05,5.16568e-05,,,,,,
"BM_RNSRingMultiplication<4096>_mean",5,1555.69,1555.66,ns,,,,,
"BM_RNSRingMultiplication<4096>_median",5,1555.72,1555.69,ns,,,,,
"BM_RNSRingMultiplication<4096>_stddev",5,0.95068,0.946845,ns,,,,,
"BM_RNSRingMultiplication<4096>_cv",5,0.0006111,0.000608643,,,,,,
