name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_ModExpConsttime_x2/1024_mean",5,227.308,227.307,us,,,,,
"BM_ModExpConsttime_x2/1024_median",5,227.202,227.198,us,,,,,
"BM_ModExpConsttime_x2/1024_stddev",5,0.320986,0.320763,us,,,,,
"BM_ModExpConsttime_x2/1024_cv",5,0.00141212,0.00141115,,,,,,
"BM_ModExpConsttime_x2/1536_mean",5,628.4,628.397,us,,,,,
"BM_ModExpConsttime_x2/1536_median",5,627.892,627.872,us,,,,,
"BM_ModExpConsttime_x2/1536_stddev",5,1.2377,1.24189,us,,,,,
"BM_ModExpConsttime_x2/1536_cv",5,0.00196961,0.00197629,,,,,,
"BM_ModExpConsttime_x2/2048_mean",5,1292.61,1292.61,us,,,,,
"BM_ModExpConsttime_x2/2048_median",5,1292.36,1292.36,us,,,,,
"BM_ModExpConsttime_x2/2048_stddev",5,0.511639,0.519165,us,,,,,
"BM_ModExpConsttime_x2/2048_cv",5,0.000395817,0.00040164,,,,,,
"BM_RSASign_EVP_PKEY_sign/2048_mean",5,256.237,256.234,us,,,,,
"BM_RSASign_EVP_PKEY_sign/2048_median",5,256.218,256.215,us,,,,,
"BM_RSASign_EVP_PKEY_sign/2048_stddev",5,0.133686,0.133677,us,,,,,
"BM_RSASign_EVP_PKEY_sign/2048_cv",5,0.000521728,0.000521696,,,,,,
"BM_RSASign_EVP_PKEY_sign/3072_mean",5,689.646,689.647,us,,,,,
"BM_RSASign_EVP_PKEY_sign/3072_median",5,689.403,689.399,us,,,,,
"BM_RSASign_EVP_PKEY_sign/3072_stddev",5,0.446663,0.446798,us,,,,,
"BM_RSASign_EVP_PKEY_sign/3072_cv",5,0.00064767,0.000647864,,,,,,
"BM_RSASign_EVP_PKEY_sign/4096_mean",5,1396.76,1396.76,us,,,,,
"BM_RSASign_EVP_PKEY_sign/4096_median",5,1396.64,1396.62,us,,,,,
"BM_RSASign_EVP_PKEY_sign/4096_stddev",5,0.446953,0.450859,us,,,,,
"BM_RSASign_EVP_PKEY_sign/4096_cv",5,0.000319994,0.00032279,,,,,,
"BM_RSAVerify_EVP_PKEY_verify/2048_mean",5,15.245,15.245,us,,,,,
"BM_RSAVerify_EVP_PKEY_verify/2048_median",5,15.2454,15.2453,us,,,,,
"BM_RSAVerify_EVP_PKEY_verify/2048_stddev",5,0.00213758,0.00206793,us,,,,,
"BM_RSAVerify_EVP_PKEY_verify/2048_cv",5,0.000140215,0.000135646,,,,,,
"BM_RSAVerify_EVP_PKEY_verify/3072_mean",5,32.6277,32.6277,us,,,,,
"BM_RSAVerify_EVP_PKEY_verify/3072_median",5,32.6252,32.6253,us,,,,,
"BM_RSAVerify_EVP_PKEY_verify/3072_stddev",5,0.0204673,0.0203615,us,,,,,
"BM_RSAVerify_EVP_PKEY_verify/3072_cv",5,0.0006273,0.000624055,,,,,,
"BM_RSAVerify_EVP_PKEY_verify/4096_mean",5,56.9494,56.9498,us,,,,,
"BM_RSAVerify_EVP_PKEY_verify/4096_median",5,56.7546,56.755,us,,,,,
"BM_RSAVerify_EVP_PKEY_verify/4096_stddev",5,0.443716,0.443732,us,,,,,
"BM_RSAVerify_EVP_PKEY_verify/4096_cv",5,0.00779141,0.00779164,,,,,,
