name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_RNSInt2Mont<2048>_mean",5,2305.96,2305.97,ns,,,,,
"BM_RNSInt2Mont<2048>_median",5,2305.52,2305.52,ns,,,,,
"BM_RNSInt2Mont<2048>_stddev",5,24.4875,24.5118,ns,,,,,
"BM_RNSInt2Mont<2048>_cv",5,0.0106192,0.0106297,,,,,,
"BM_RNSInt2Mont<3072>_mean",5,3608.71,3608.71,ns,,,,,
"BM_RNSInt2Mont<3072>_median",5,3603.5,3603.42,ns,,,,,
"BM_RNSInt2Mont<3072>_stddev",5,12.4824,12.5005,ns,,,,,
"BM_RNSInt2Mont<3072>_cv",5,0.00345897,0.003464,,,,,,
"BM_RNSInt2Mont<4096>_mean",5,5802.32,5802.32,ns,,,,,
"BM_RNSInt2Mont<4096>_median",5,5801.91,5801.9,ns,,,,,
"BM_RNSInt2Mont<4096>_stddev",5,9.61454,9.62522,ns,,,,,
"BM_RNSInt2Mont<4096>_cv",5,0.00165702,0.00165886,,,,,,
"BM_RNSMont2Int<2048>_mean",5,453.422,453.42,ns,,,,,
"BM_RNSMont2Int<2048>_median",5,453.25,453.243,ns,,,,,
"BM_RNSMont2Int<2048>_stddev",5,2.25977,2.26203,ns,,,,,
"BM_RNSMont2Int<2048>_cv",5,0.00498383,0.00498881,,,,,,
"BM_RNSMont2Int<3072>_mean",5,588.5,588.501,ns,,,,,
"BM_RNSMont2Int<3072>_median",5,587.998,588.002,ns,,,,,
"BM_RNSMont2Int<3072>_stddev",5,1.69382,1.69556,ns,,,,,
"BM_RNSMont2Int<3072>_cv",5,0.00287819,0.00288116,,,,,,
"BM_RNSMont2Int<4096>_mean",5,1429.45,1429.45,ns,,,,,
"BM_RNSMont2Int<4096>_median",5,1419.38,1419.39,ns,,,,,
"BM_RNSMont2Int<4096>_stddev",5,17.3641,17.3679,ns,,,,,
"BM_RNSMont2Int<4096>_cv",5,0.0121474,0.0121501,,,,,,
"BM_RNSRingMultiplication<2048>_mean",5,206.285,206.286,ns,,,,,
"BM_RNSRingMultiplication<2048>_median",5,206.285,206.286,ns,,,,,
"BM_RNSRingMultiplication<2048>_stddev",5,0.008071,0.00768769,ns,,,,,
"BM_RNSRingMultiplication<2048>_cv",5,3.91254e-05,3.72672e-05,,,,,,
"BM_RNSRingMultiplication<3072>_mean",5,469.522,469.522,ns,,,,,
"BM_RNSRingMultiplication<3072>_median",5,469.788,469.791,ns,,,,,
"BM_RNSRingMultiplication<3072>_stddev",5,0.615871,0.612826,ns,,,,,
"BM_RNSRingMultiplication<3072>_cv",5,0.0013117,0.00130521,,,,,,
"BM_RNSRingMultiplication<4096>_mean",5,1539.34,1539.34,ns,,,,,
"BM_RNSRingMultiplication<4096>_median",5,1538.81,1538.81,ns,,,,,
"BM_RNSRingMultiplication<4096>_stddev",5,1.48457,1.47686,ns,,,,,
"BM_RNSRingMultiplication<4096>_cv",5,0.000964416,0.000959413,,,,,,
