name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_ModExpConsttime_x2/1024_mean",5,227.145,227.141,us,,,,,
"BM_ModExpConsttime_x2/1024_median",5,227.151,227.148,us,,,,,
"BM_ModExpConsttime_x2/1024_stddev",5,0.0313536,0.0314864,us,,,,,
"BM_ModExpConsttime_x2/1024_cv",5,0.000138033,0.000138621,,,,,,
"BM_ModExpConsttime_x2/1536_mean",5,627.558,627.549,us,,,,,
"BM_ModExpConsttime_x2/1536_median",5,627.545,627.538,us,,,,,
"BM_ModExpConsttime_x2/1536_stddev",5,0.0767492,0.0688382,us,,,,,
"BM_ModExpConsttime_x2/1536_cv",5,0.000122298,0.000109694,,,,,,
"BM_ModExpConsttime_x2/2048_mean",5,1292.11,1292.09,us,,,,,
"BM_ModExpConsttime_x2/2048_median",5,1291.92,1291.91,us,,,,,
"BM_ModExpConsttime_x2/2048_stddev",5,0.857505,0.842042,us,,,,,
"BM_ModExpConsttime_x2/2048_cv",5,0.000663645,0.000651688,,,,,,
"BM_RSASign_EVP_PKEY_sign/2048_mean",5,256.023,256.018,us,,,,,
"BM_RSASign_EVP_PKEY_sign/2048_median",5,256.045,256.045,us,,,,,
"BM_RSASign_EVP_PKEY_sign/2048_stddev",5,0.0949044,0.0945953,us,,,,,
"BM_RSASign_EVP_PKEY_sign/2048_cv",5,0.000370687,0.000369487,,,,,,
"BM_RSASign_EVP_PKEY_sign/3072_mean",5,689.242,689.23,us,,,,,
"BM_RSASign_EVP_PKEY_sign/3072_median",5,689.317,689.297,us,,,,,
"BM_RSASign_EVP_PKEY_sign/3072_stddev",5,0.324072,0.322048,us,,,,,
"BM_RSASign_EVP_PKEY_sign/3072_cv",5,0.000470186,0.000467258,,,,,,
"BM_RSASign_EVP_PKEY_sign/4096_mean",5,1397.69,1397.62,us,,,,,
"BM_RSASign_EVP_PKEY_sign/4096_median",5,1397.36,1397.23,us,,,,,
"BM_RSASign_EVP_PKEY_sign/4096_stddev",5,1.26378,1.26254,us,,,,,
"BM_RSASign_EVP_PKEY_sign/4096_cv",5,0.000904194,0.000903344,,,,,,
"BM_RSAVerify_EVP_PKEY_verify/2048_mean",5,15.2383,15.2374,us,,,,,
"BM_RSAVerify_EVP_PKEY_verify/2048_median",5,15.239,15.2389,us,,,,,
"BM_RSAVerify_EVP_PKEY_verify/2048_stddev",5,0.0077555,0.00844041,us,,,,,
"BM_RSAVerify_EVP_PKEY_verify/2048_cv",5,0.000508949,0.000553926,,,,,,
"BM_RSAVerify_EVP_PKEY_verify/3072_mean",5,32.6396,32.6388,us,,,,,
"BM_RSAVerify_EVP_PKEY_verify/3072_median",5,32.6445,32.6428,us,,,,,
"BM_RSAVerify_EVP_PKEY_verify/3072_stddev",5,0.00764741,0.00724806,us,,,,,
"BM_RSAVerify_EVP_PKEY_verify/3072_cv",5,0.000234298,0.000222069,,,,,,
"BM_RSAVerify_EVP_PKEY_verify/4096_mean",5,56.7583,56.7575,us,,,,,
"BM_RSAVerify_EVP_PKEY_verify/4096_median",5,56.7623,56.7615,us,,,,,
"BM_RSAVerify_EVP_PKEY_verify/4096_stddev",5,0.0173855,0.0174498,us,,,,,
"BM_RSAVerify_EVP_PKEY_verify/4096_cv",5,0.000306307,0.000307444,,,,,,
