name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_RNSInt2Mont<2048>_mean",5,204.154,204.157,ns,,,,,
"BM_RNSInt2Mont<2048>_median",5,204.157,204.155,ns,,,,,
"BM_RNSInt2Mont<2048>_stddev",5,0.0135088,0.0126105,ns,,,,,
"BM_RNSInt2Mont<2048>_cv",5,6.61697e-05,6.17685e-05,,,,,,
"BM_RNSInt2Mont<3072>_mean",5,502.146,502.149,ns,,,,,
"BM_RNSInt2Mont<3072>_median",5,502.31,502.318,ns,,,,,
"BM_RNSInt2Mont<3072>_stddev",5,0.445614,0.449242,ns,,,,,
"BM_RNSInt2Mont<3072>_cv",5,0.000887418,0.000894639,,,,,,
"BM_RNSInt2Mont<4096>_mean",5,1557.31,1557.28,ns,,,,,
"BM_RNSInt2Mont<4096>_median",5,1556.04,1556.02,ns,,,,,
"BM_RNSInt2Mont<4096>_stddev",5,3.71238,3.6901,ns,,,,,
"BM_RNSInt2Mont<4096>_cv",5,0.00238384,0.00236958,,,,,,
"BM_RNSMont2Int<2048>_mean",5,698.878,698.862,ns,,,,,
"BM_RNSMont2Int<2048>_median",5,688.889,688.863,ns,,,,,
"BM_RNSMont2Int<2048>_stddev",5,23.6476,23.649,ns,,,,,
"BM_RNSMont2Int<2048>_cv",5,0.0338365,0.0338392,,,,,,
"BM_RNSMont2Int<3072>_mean",5,881.085,881.034,ns,,,,,
"BM_RNSMont2Int<3072>_median",5,878.137,878.118,ns,,,,,
"BM_RNSMont2Int<3072>_stddev",5,5.6038,5.5461,ns,,,,,
"BM_RNSMont2Int<3072>_cv",5,0.00636011,0.00629499,,,,,,
"BM_RNSMont2Int<4096>_mean",5,1682.27,1682.2,ns,,,,,
"BM_RNSMont2Int<4096>_median",5,1685.84,1685.75,ns,,,,,
"BM_RNSMont2Int<4096>_stddev",5,15.1577,15.1457,ns,,,,,
"BM_RNSMont2Int<4096>_cv",5,0.00901026,0.0090035,,,,,,
"BM_RNSRingMultiplication<2048>_mean",5,197.884,197.878,ns,,,,,
"BM_RNSRingMultiplication<2048>_median",5,198.014,198.012,ns,,,,,
"BM_RNSRingMultiplication<2048>_stddev",5,0.207316,0.20697,ns,,,,,
"BM_RNSRingMultiplication<2048>_cv",5,0.00104766,0.00104594,,,,,,
"BM_RNSRingMultiplication<3072>_mean",5,464.175,464.168,ns,,,,,
"BM_RNSRingMultiplication<3072>_median",5,464.174,464.168,ns,,,,,
"BM_RNSRingMultiplication<3072>_stddev",5,0.116842,0.110855,ns,,,,,
"BM_RNSRingMultiplication<3072>_cv",5,0.000251719,0.000238824,,,,,,
"BM_RNSRingMultiplication<4096>_mean",5,1539.23,1539.19,ns,,,,,
"BM_RNSRingMultiplication<4096>_median",5,1538.86,1538.83,ns,,,,,
"BM_RNSRingMultiplication<4096>_stddev",5,1.28312,1.26921,ns,,,,,
"BM_RNSRingMultiplication<4096>_cv",5,0.000833613,0.000824596,,,,,,
