name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_ModExpConsttime_x2/1024_mean",5,273.99,273.982,us,,,,,
"BM_ModExpConsttime_x2/1024_median",5,275.575,275.571,us,,,,,
"BM_ModExpConsttime_x2/1024_stddev",5,5.81955,5.82155,us,,,,,
"BM_ModExpConsttime_x2/1024_cv",5,0.02124,0.0212479,,,,,,
"BM_ModExpConsttime_x2/1536_mean",5,783.844,783.53,us,,,,,
"BM_ModExpConsttime_x2/1536_median",5,785.798,785.769,us,,,,,
"BM_ModExpConsttime_x2/1536_stddev",5,14.5955,14.3353,us,,,,,
"BM_ModExpConsttime_x2/1536_cv",5,0.0186203,0.0182958,,,,,,
"BM_ModExpConsttime_x2/2048_mean",5,1621.77,1620.83,us,,,,,
"BM_ModExpConsttime_x2/2048_median",5,1597.16,1596.52,us,,,,,
"BM_ModExpConsttime_x2/2048_stddev",5,48.802,49.5947,us,,,,,
"BM_ModExpConsttime_x2/2048_cv",5,0.0300919,0.0305983,,,,,,
"BM_RSASign_EVP_PKEY_sign/2048_mean",5,317.362,317.319,us,,,,,
"BM_RSASign_EVP_PKEY_sign/2048_median",5,312.637,312.558,us,,,,,
"BM_RSASign_EVP_PKEY_sign/2048_stddev",5,8.04279,8.03832,us,,,,,
"BM_RSASign_EVP_PKEY_sign/2048_cv",5,0.0253426,0.0253319,,,,,,
"BM_RSASign_EVP_PKEY_sign/3072_mean",5,861.671,861.52,us,,,,,
"BM_RSASign_EVP_PKEY_sign/3072_median",5,846.188,846.136,us,,,,,
"BM_RSASign_EVP_PKEY_sign/3072_stddev",5,27.8536,27.7091,us,,,,,
"BM_RSASign_EVP_PKEY_sign/3072_cv",5,0.0323251,0.032163,,,,,,
"BM_RSASign_EVP_PKEY_sign/4096_mean",5,1733.32,1733.08,us,,,,,
"BM_RSASign_EVP_PKEY_sign/4096_median",5,1730.35,1729.49,us,,,,,
"BM_RSASign_EVP_PKEY_sign/4096_stddev",5,33.4686,33.515,us,,,,,
"BM_RSASign_EVP_PKEY_sign/4096_cv",5,0.019309,0.0193385,,,,,,
