name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_ModExpConsttimeOG/1024_mean",5,260.407,260.125,us,,,,,
"BM_ModExpConsttimeOG/1024_median",5,259.648,259.577,us,,,,,
"BM_ModExpConsttimeOG/1024_stddev",5,3.15728,2.64176,us,,,,,
"BM_ModExpConsttimeOG/1024_cv",5,0.0121244,0.0101557,,,,,,
"BM_ModExpConsttimeOG/1536_mean",5,810.581,808.803,us,,,,,
"BM_ModExpConsttimeOG/1536_median",5,806.334,806.288,us,,,,,
"BM_ModExpConsttimeOG/1536_stddev",5,8.91354,7.93081,us,,,,,
"BM_ModExpConsttimeOG/1536_cv",5,0.0109965,0.00980562,,,,,,
"BM_ModExpConsttimeOG/2048_mean",5,1869.45,1869.24,us,,,,,
"BM_ModExpConsttimeOG/2048_median",5,1882.92,1882.9,us,,,,,
"BM_ModExpConsttimeOG/2048_stddev",5,24.7324,24.5613,us,,,,,
"BM_ModExpConsttimeOG/2048_cv",5,0.0132298,0.0131398,,,,,,
"BM_RNSExponentiation<1536, 4>_mean",5,345.164,340.228,us,,,,,
"BM_RNSExponentiation<1536, 4>_median",5,332.768,332.749,us,,,,,
"BM_RNSExponentiation<1536, 4>_stddev",5,30.2202,22.4029,us,,,,,
"BM_RNSExponentiation<1536, 4>_cv",5,0.0875531,0.0658466,,,,,,
"BM_RNSExponentiation<2048, 4>_mean",5,691.206,690.688,us,,,,,
"BM_RNSExponentiation<2048, 4>_median",5,700.101,700.082,us,,,,,
"BM_RNSExponentiation<2048, 4>_stddev",5,34.5995,33.8051,us,,,,,
"BM_RNSExponentiation<2048, 4>_cv",5,0.0500568,0.0489441,,,,,,
"BM_RNSDifferentRingExponentiationBatched<1024, 4>_mean",5,261.512,261.471,us,,,,,
"BM_RNSDifferentRingExponentiationBatched<1024, 4>_median",5,257.685,257.67,us,,,,,
"BM_RNSDifferentRingExponentiationBatched<1024, 4>_stddev",5,8.26351,8.24584,us,,,,,
"BM_RNSDifferentRingExponentiationBatched<1024, 4>_cv",5,0.031599,0.0315363,,,,,,
"BM_SpeedRSASign/2048/threads:1_mean",5,534.425,534.099,us,,,,,
"BM_SpeedRSASign/2048/threads:1_median",5,536.517,536.436,us,,,,,
"BM_SpeedRSASign/2048/threads:1_stddev",5,5.23083,4.93022,us,,,,,
"BM_SpeedRSASign/2048/threads:1_cv",5,0.00978778,0.0092309,,,,,,
"BM_SpeedRSASign/3072/threads:1_mean",5,1671.63,1670.91,us,,,,,
"BM_SpeedRSASign/3072/threads:1_median",5,1671.5,1670.93,us,,,,,
"BM_SpeedRSASign/3072/threads:1_stddev",5,32.7874,32.8879,us,,,,,
"BM_SpeedRSASign/3072/threads:1_cv",5,0.019614,0.0196826,,,,,,
"BM_SpeedRSASign/4096/threads:1_mean",5,3836.77,3836.69,us,,,,,
"BM_SpeedRSASign/4096/threads:1_median",5,3811.49,3811.49,us,,,,,
"BM_SpeedRSASign/4096/threads:1_stddev",5,57.6043,57.5888,us,,,,,
"BM_SpeedRSASign/4096/threads:1_cv",5,0.0150137,0.01501,,,,,,
"BM_SpeedRNSRSASign/2048/threads:1_mean",5,283.407,283.38,us,,,,,
"BM_SpeedRNSRSASign/2048/threads:1_median",5,283.6,283.596,us,,,,,
"BM_SpeedRNSRSASign/2048/threads:1_stddev",5,7.09234,7.0898,us,,,,,
"BM_SpeedRNSRSASign/2048/threads:1_cv",5,0.0250253,0.0250187,,,,,,
"BM_SpeedRNSRSASign/3072/threads:1_mean",5,715.068,714.633,us,,,,,
"BM_SpeedRNSRSASign/3072/threads:1_median",5,703.447,703.127,us,,,,,
"BM_SpeedRNSRSASign/3072/threads:1_stddev",5,18.7521,18.2204,us,,,,,
"BM_SpeedRNSRSASign/3072/threads:1_cv",5,0.0262243,0.0254962,,,,,,
"BM_SpeedRNSRSASign/4096/threads:1_mean",5,1479.02,1478.67,us,,,,,
"BM_SpeedRNSRSASign/4096/threads:1_median",5,1483.64,1483.64,us,,,,,
"BM_SpeedRNSRSASign/4096/threads:1_stddev",5,47.927,47.5433,us,,,,,
"BM_SpeedRNSRSASign/4096/threads:1_cv",5,0.0324045,0.0321527,,,,,,
