name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_RNSInt2Mont<2048>_mean",5,2286.27,2286.24,ns,,,,,
"BM_RNSInt2Mont<2048>_median",5,2291.34,2291.33,ns,,,,,
"BM_RNSInt2Mont<2048>_stddev",5,14.8847,14.8754,ns,,,,,
"BM_RNSInt2Mont<2048>_cv",5,0.00651045,0.00650649,,,,,,
"BM_RNSInt2Mont<3072>_mean",5,3571.4,3571.39,ns,,,,,
"BM_RNSInt2Mont<3072>_median",5,3578.69,3578.68,ns,,,,,
"BM_RNSInt2Mont<3072>_stddev",5,38.9313,38.9361,ns,,,,,
"BM_RNSInt2Mont<3072>_cv",5,0.0109008,0.0109022,,,,,,
"BM_RNSInt2Mont<4096>_mean",5,5827.23,5827.2,ns,,,,,
"BM_RNSInt2Mont<4096>_median",5,5818.44,5818.3,ns,,,,,
"BM_RNSInt2Mont<4096>_stddev",5,21.6091,21.6402,ns,,,,,
"BM_RNSInt2Mont<4096>_cv",5,0.00370829,0.00371365,,,,,,
"BM_RNSMont2Int<2048>_mean",5,446.811,446.808,ns,,,,,
"BM_RNSMont2Int<2048>_median",5,447.038,447.036,ns,,,,,
"BM_RNSMont2Int<2048>_stddev",5,4.58944,4.58876,ns,,,,,
"BM_RNSMont2Int<2048>_cv",5,0.0102716,0.0102701,,,,,,
"BM_RNSMont2Int<3072>_mean",5,581.351,581.347,ns,,,,,
"BM_RNSMont2Int<3072>_median",5,580.906,580.89,ns,,,,,
"BM_RNSMont2Int<3072>_stddev",5,1.73101,1.73406,ns,,,,,
"BM_RNSMont2Int<3072>_cv",5,0.00297756,0.00298283,,,,,,
"BM_RNSMont2Int<4096>_mean",5,1458,1458,ns,,,,,
"BM_RNSMont2Int<4096>_median",5,1451.45,1451.44,ns,,,,,
"BM_RNSMont2Int<4096>_stddev",5,16.5677,16.57,ns,,,,,
"BM_RNSMont2Int<4096>_cv",5,0.0113632,0.0113649,,,,,,
"BM_RNSRingMultiplication<2048>_mean",5,206.697,206.696,ns,,,,,
"BM_RNSRingMultiplication<2048>_median",5,206.693,206.692,ns,,,,,
"BM_RNSRingMultiplication<2048>_stddev",5,0.0658858,0.0653791,ns,,,,,
"BM_RNSRingMultiplication<2048>_cv",5,0.000318755,0.000316306,,,,,,
"BM_RNSRingMultiplication<3072>_mean",5,465.237,465.235,ns,,,,,
"BM_RNSRingMultiplication<3072>_median",5,465.275,465.276,ns,,,,,
"BM_RNSRingMultiplication<3072>_stddev",5,0.273671,0.275072,ns,,,,,
"BM_RNSRingMultiplication<3072>_cv",5,0.00058824,0.000591253,,,,,,
"BM_RNSRingMultiplication<4096>_mean",5,1560.92,1560.89,ns,,,,,
"BM_RNSRingMultiplication<4096>_median",5,1561.3,1561.29,ns,,,,,
"BM_RNSRingMultiplication<4096>_stddev",5,1.34529,1.34755,ns,,,,,
"BM_RNSRingMultiplication<4096>_cv",5,0.000861857,0.000863319,,,,,,
